[2026-01-17 07:59:08,228] [INFO] ✅ 支付系统配置验证通过
[2026-01-17 07:59:08,766] [INFO] ✅ 数据库索引创建完成
[2026-01-17 07:59:08,767] [INFO] ✅ 数据库管理器初始化完成
[2026-01-17 07:59:08,767] [INFO] ✅ Bot管理器初始化完成
[2026-01-17 07:59:08,767] [INFO] ✅ Tron客户端初始化完成，API Keys数量: 1
[2026-01-17 07:59:08,767] [INFO] ✅ 代理支付系统初始化完成
[2026-01-17 07:59:08,768] [INFO] 🔄 支付处理循环已启动
[2026-01-17 07:59:08,769] [INFO] 🔄 订单清理循环已启动
[2026-01-17 07:59:08,769] [INFO] ✅ 支付系统已启动
[2026-01-17 07:59:08,770] [INFO] ✅ 支付系统测试启动成功
[2026-01-17 07:59:08,770] [INFO] 按 Ctrl+C 停止...
[2026-01-17 08:06:47,259] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:06:50,364] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:06:53,464] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:06:56,580] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:06:59,678] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:07:02,788] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:07:05,870] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:07:08,971] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:07:12,059] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:07:15,142] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:07:18,222] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
